"id","place","weight_lbs","grower_name","city","state_prov","country","gpc_site","seed_mother","pollinator_father","ott","est_weight","pct_chart","variety","weight_kg","weight_class"
"2974-P",48,1988.77408593427,"TKKYM","New York","Florida","China","Local Pumpkin Festival","1221 S","1261 Q",455,1807,13,"Ghost",902.092751789997,"heavy"
"2709-P",94,1897.33989161532,"QGHQF","Chicago","Texas","China","National Pumpkin Festival","1427 W","1665 E",440,1740,13,"Blue Doll",860.618898855045,"heavy"
"2272-P",96,1785.17567795794,"TETHK","Chicago","California","China","Local Pumpkin Festival","1742 L","1634 P",445,1748,4,"Fairytale",809.742067310343,"heavy"
"2348-P",68,1790.89658749197,"TRAGI","Paris","New York","Australia","Local Pumpkin Festival","1599 P","1218 Q",439,1652,4,"Fairytale",812.337028226612,"heavy"
"2203-P",51,1766.53350459505,"BXWWM","Paris","Texas","Australia","Local Pumpkin Festival","1028 L","1866 N",426,1567,16,"Blue Doll",801.286119705625,"heavy"
"2380-P",52,1752.97314907946,"SYEHU","Houston","Texas","Australia","National Pumpkin Festival","1972 C","1502 C",441,1696,5,"Ghost",795.135245904107,"heavy"
"2296-P",52,1750.85443629976,"GONET","Chicago","Florida","USA","National Pumpkin Festival","1275 T","1235 R",424,1523,14,"Big Max",794.174213952211,"heavy"
"2689-P",27,1738.19297976606,"PZAEM","Paris","Texas","China","National Pumpkin Festival","1580 O","1801 S",425,1609,5,"Fairytale",788.431073870618,"heavy"
"2586-P",68,1728.05382533744,"YMCYA","New York","Texas","USA","Regional Pumpkin Festival","1741 A","1620 O",429,1585,5,"Blue Doll",783.83203077969,"heavy"
"2817-P",23,1652.89333803765,"DTGYW","Los Angeles","Texas","China","Local Pumpkin Festival","1314 Z","1175 F",416,1537,12,"Fairytale",749.739807186436,"heavy"
"2370-P",77,1629.58749197144,"FBOOW","Nottingham","New York","USA","Regional Pumpkin Festival","1938 U","1465 U",406,1433,14,"Big Max",739.168453225541,"heavy"
"2822-P",60,1600.13551380113,"VTOMV","Los Angeles","Texas","China","Regional Pumpkin Festival","1407 E","1449 B",417,1530,-1,"Blue Doll",725.809260634878,"heavy"
"2288-P",43,1566.44379475154,"XIOHO","Chicago","Texas","USA","Local Pumpkin Festival","1074 U","1316 Y",390,1282,22,"Ghost",710.526953928986,"heavy"
"2565-P",20,1558.66115900781,"CYNCB","Houston","Florida","USA","Local Pumpkin Festival","1483 G","1169 S",415,1499,1,"Ghost",706.99680973418,"heavy"
"2872-P",18,1555.08290515561,"KYZUN","New York","California","China","Regional Pumpkin Festival","1747 T","1125 Y",411,1481,1,"Fairytale",705.373741087537,"heavy"
"2682-P",57,1551.64044481143,"AGXIV","Chicago","Florida","USA","Local Pumpkin Festival","1266 F","1182 R",428,1618,-8,"Big Max",703.812267340083,"heavy"
"2143-P",9,1532.43116116896,"XNGJI","Houston","Florida","Australia","Regional Pumpkin Festival","1030 Q","1022 Z",411,1424,10,"Ghost",695.099082839385,"heavy"
"2237-P",83,1535.41459051427,"TFVVI","Los Angeles","Texas","USA","Regional Pumpkin Festival","1817 T","1952 L",406,1429,4,"Fairytale",696.452343627983,"heavy"
"2719-P",22,1523.12953767926,"QESJU","Los Angeles","Florida","China","Local Pumpkin Festival","1037 Q","1930 Q",411,1480,1,"Fairytale",690.879937392303,"heavy"
"2850-P",19,1524.42316803057,"YFEQS","Nottingham","California","Australia","Local Pumpkin Festival","1099 E","1440 W",418,1518,5,"Ghost",691.466718249751,"heavy"
"2374-P",6,1518.42257279065,"NQGWJ","Paris","New York","USA","Regional Pumpkin Festival","1478 X","1525 O",438,1696,-11,"Ghost",688.744894031181,"heavy"
"2455-P",44,1516.28814696148,"NSHDK","Nottingham","California","China","Local Pumpkin Festival","1800 L","1951 B",405,1432,2,"Big Max",687.776734759929,"heavy"
"2428-P",48,1497.12584245298,"BBVBQ","Nottingham","New York","China","National Pumpkin Festival","1280 Z","1344 D",417,1541,-6,"Ghost",679.084859635968,"heavy"
"2349-P",52,1496.17061525956,"HGEDX","Paris","New York","Australia","National Pumpkin Festival","1840 R","1226 K",387,1270,18,"Blue Doll",678.651575869052,"heavy"
"2962-P",89,1483.18263757601,"VVXCD","Houston","New York","China","National Pumpkin Festival","1389 A","1346 D",413,1418,1,"Fairytale",672.760328285126,"heavy"
"2514-P",79,1473.64107603207,"OMVCZ","Houston","Florida","China","Regional Pumpkin Festival","1963 R","1247 T",417,1486,-2,"Fairytale",668.432348767279,"heavy"
"2640-P",13,1487.16102813557,"BEVEC","Chicago","Texas","China","National Pumpkin Festival","1270 C","1037 X",428,1580,-6,"Blue Doll",674.564895889333,"heavy"
"2303-P",61,1476.59867911693,"ZFSHW","Paris","Florida","Australia","Regional Pumpkin Festival","1342 G","1127 Y",408,1433,5,"Ghost",669.773894961183,"heavy"
"2296-P",11,1469.7094644038,"RROUC","Chicago","New York","China","Regional Pumpkin Festival","1944 P","1741 B",411,1493,-5,"Ghost",666.648999729396,"heavy"
"2300-P",15,1467.98888473082,"BVAOD","Paris","New York","Australia","Regional Pumpkin Festival","1045 J","1376 A",406,1451,5,"Fairytale",665.868557917102,"heavy"
"2462-P",41,1468.2030657148,"ICQPX","Los Angeles","Texas","China","National Pumpkin Festival","1547 M","1177 I",413,1511,-6,"Big Max",665.965708777314,"heavy"
"2288-P",90,1471.73820167687,"ENRUE","New York","California","Australia","Regional Pumpkin Festival","1442 X","1258 B",407,1412,5,"Fairytale",667.569219477966,"heavy"
"2785-P",5,1467.12583451904,"FZPLZ","Chicago","California","Australia","Regional Pumpkin Festival","1428 T","1187 H",418,1466,4,"Fairytale",665.477084925784,"heavy"
